Position	Class	IPEA	ChromHMM_Segway_weak_Strong-enhancer	DEEP	csi_ann	RFECS	chromHMM	Segway	Control_ChromHMM_Segway_weak_Strong_repressed_State	
chr10_114258670_114258800	1	0	1	0	0	0	0	1	1
chr10_114723659_114723783	1	0	1	0	0	0	0	1	1
chr10_119133717_119133845	1	0	0	1	0	0	0	0	0
chr10_124892379_124892509	1	0	1	0	0	0	0	1	1
chr10_126365891_126366021	1	0	0	0	0	0	0	1	1
chr10_133747341_133747468	1	1	1	0	0	1	1	1	1
chr10_134956715_134956844	1	0	1	0	0	1	1	1	1
chr10_15894400_15894521	1	0	1	0	0	1	1	1	1
chr10_22771312_22771440	1	0	1	0	0	1	1	1	1
chr10_28785108_28785236	1	0	1	0	0	1	1	1	1
chr10_64873905_64874029	1	0	1	0	0	1	1	1	1
chr10_70815937_70816059	1	0	1	0	0	0	1	1	1
chr10_80713042_80713172	1	0	1	0	0	1	1	1	1
chr10_88432303_88432433	1	0	1	0	0	0	1	1	1
chr10_92690847_92690977	1	0	0	0	0	0	0	0	1
chr10_93960504_93960634	1	0	1	0	0	0	1	1	1
chr10_96943871_96944000	1	0	1	0	0	0	0	1	1
chr10_98356353_98356483	1	0	1	0	0	1	1	1	1
chr10_98424490_98424615	1	0	1	0	0	0	0	1	1
chr10_98783953_98784077	1	0	1	0	0	1	1	1	1
chr10_99443817_99443947	1	0	1	0	0	1	1	1	1
chr1_10075894_10076024	1	0	1	0	0	1	1	1	1
chr1_1067335_1067465	1	0	0	0	0	0	0	1	1
chr11_109618604_109618734	1	1	1	0	0	1	1	1	1
chr11_112046279_112046400	1	0	1	0	0	0	0	1	1
chr11_113244857_113244987	1	0	1	0	0	1	1	1	1
chr11_121233751_121233875	1	0	0	0	0	0	0	0	1
chr1_112452000_112452126	1	0	0	0	0	0	0	0	1
chr11_132953272_132953400	1	0	0	0	0	0	1	1	0
chr1_117236860_117236986	1	0	1	0	0	1	1	1	1
chr1_117560411_117560541	1	0	1	0	0	0	0	1	1
chr11_1863804_1863934	1	0	1	0	0	0	1	1	1
chr11_1990821_1990951	1	1	1	0	0	1	1	1	1
chr11_20122226_20122356	1	0	1	0	0	1	1	1	1
chr11_2020615_2020745	1	0	1	0	0	1	1	1	1
chr1_12124540_12124670	1	1	0	1	1	1	0	0	0
chr11_27231193_27231323	1	0	1	0	0	0	1	1	1
chr11_35060170_35060300	1	0	1	0	0	0	1	1	1
chr11_44747849_44747979	1	0	1	0	0	1	0	1	1
chr11_46294440_46294570	1	1	1	0	0	0	1	1	1
chr11_46934393_46934521	1	0	1	0	0	0	0	1	1
chr1_151689386_151689516	1	0	1	0	0	1	1	1	1
chr1_151811355_151811483	1	0	0	0	0	0	0	0	1
chr11_5246081_5246211	1	1	1	1	1	1	1	1	1
chr11_5385527_5385657	1	1	1	0	0	1	1	1	1
chr1_153955073_153955200	1	0	1	0	0	1	1	1	1
chr1_154976400_154976529	1	1	0	1	1	0	0	1	0
chr1_155854240_155854370	1	1	1	0	0	1	1	1	1
chr1_160406895_160407025	1	0	1	0	0	1	1	1	1
chr11_61424268_61424398	1	0	1	0	0	0	1	1	1
chr1_161708876_161709006	1	1	1	0	0	1	1	1	1
chr11_63390771_63390892	1	0	1	0	0	1	1	1	1
chr11_64216200_64216327	1	0	1	0	0	0	0	1	1
chr11_64350912_64351033	1	0	1	0	0	1	1	1	1
chr11_65121232_65121362	1	0	0	0	0	0	0	0	0
chr11_65125532_65125662	1	1	1	0	0	1	1	1	1
chr11_65956148_65956276	1	0	1	0	0	0	1	1	1
chr11_6676812_6676939	1	0	0	0	0	1	0	1	0
chr11_68924800_68924926	1	1	1	0	0	1	1	1	1
chr11_69458437_69458560	1	0	1	0	0	0	0	1	1
chr11_72336884_72337009	1	0	1	0	0	1	1	1	1
chr11_72913096_72913226	1	0	1	0	0	1	1	1	1
chr1_174784304_174784433	1	0	1	0	0	0	0	1	1
chr1_176665281_176665411	1	0	1	0	0	0	0	1	1
chr11_77890857_77890987	1	0	1	0	0	0	1	1	1
chr11_78157376_78157506	1	0	1	0	0	0	1	1	1
chr1_17895755_17895885	1	0	1	0	0	1	1	1	1
chr11_8103317_8103446	1	0	0	0	0	0	0	0	1
chr1_181110078_181110201	1	1	1	1	0	1	1	1	1
chr1_186023252_186023382	1	0	1	0	0	0	1	1	1
chr11_86270343_86270473	1	0	1	0	0	1	1	1	1
chr1_200994786_200994916	1	0	1	0	0	1	1	1	1
chr1_201504336_201504466	1	0	1	0	0	1	1	1	1
chr1_202159729_202159859	1	0	1	0	0	1	1	1	1
chr1_203258835_203258965	1	1	1	1	1	1	1	1	1
chr1_205257397_205257527	1	0	1	0	0	1	1	1	1
chr1_206490635_206490765	1	0	1	0	0	1	0	1	1
chr1_206644434_206644564	1	0	1	0	0	1	0	1	1
chr1_209820631_209820761	1	1	1	0	1	0	1	1	1
chr12_109220689_109220819	1	0	1	0	0	1	1	1	1
