Chromosome	Start	End	ID	Confidence
chr1	118000	119000	E_000001	0.7264
chr1	138000	138750	E_000002	0.5782
chr1	229000	230000	E_000003	0.7134
chr1	235500	236500	E_000004	0.919
chr1	760500	761750	E_000005	0.929
chr1	765250	765750	E_000006	0.8375
chr1	936750	938250	E_000007	0.7725
chr1	939750	941500	E_000008	0.9526
chr1	956500	957500	E_000009	0.9074
chr1	959000	960000	E_000010	0.945
chr1	967750	968250	E_000011	0.5632
chr1	975500	976500	E_000012	0.8457
chr1	994000	995750	E_000013	0.8736
chr1	999750	1000500	E_000014	0.8836
chr1	1004750	1005750	E_000015	0.8543
chr1	1014500	1016250	E_000016	0.9379
chr1	1044250	1046500	E_000017	0.9365
chr1	1069750	1071250	E_000018	0.9474
chr1	1092500	1094500	E_000019	0.8951
chr1	1120250	1121750	E_000020	0.9798
chr1	1136500	1137750	E_000021	0.7642
chr1	1158000	1159000	E_000022	0.6453
chr1	1165750	1166500	E_000023	0.8184
chr1	1207500	1208250	E_000024	0.8167
chr1	1261250	1262000	E_000025	0.8282
chr1	1279500	1281500	E_000026	0.9066
chr1	1281750	1283750	E_000027	0.8299
chr1	1292000	1293250	E_000028	0.6934
chr1	1309250	1310000	E_000029	0.7538
chr1	1312000	1312750	E_000030	0.83
chr1	1332500	1333000	E_000031	0.7889
chr1	1336500	1337000	E_000032	0.7771
chr1	1368250	1369000	E_000033	0.8567
chr1	1376250	1377250	E_000034	0.8443
chr1	1405500	1406000	E_000035	0.8189
chr1	1407750	1409000	E_000036	0.6658
chr1	1440000	1442000	E_000037	0.8752
chr1	1446000	1446500	E_000038	0.8195
chr1	1448500	1449000	E_000039	0.5621
chr1	1508000	1509250	E_000040	0.7306
chr1	1532000	1533500	E_000041	0.9511
chr1	1548500	1549750	E_000042	0.865
chr1	1583250	1584250	E_000043	0.7468
chr1	1591500	1592000	E_000044	0.5621
chr1	1594000	1595000	E_000045	0.9147
chr1	1617250	1618500	E_000046	0.9754
chr1	1646250	1648000	E_000047	0.9527
chr1	1706750	1709250	E_000048	0.8609
chr1	1713000	1715000	E_000049	0.9524
